/home/benjamintan/miniconda3/envs/drlnd/bin/python /home/benjamintan/workspace/deep-reinforcement-learning/p2_continuous-control/run.py
Found path: /home/benjamintan/workspace/deep-reinforcement-learning/p2_continuous-control/Reacher_Linux/Reacher.x86_64
Mono path[0] = '/home/benjamintan/workspace/deep-reinforcement-learning/p2_continuous-control/Reacher_Linux/Reacher_Data/Managed'
Mono config path = '/home/benjamintan/workspace/deep-reinforcement-learning/p2_continuous-control/Reacher_Linux/Reacher_Data/MonoBleedingEdge/etc'
Preloaded 'ScreenSelector.so'
Preloaded 'libgrpc_csharp_ext.x64.so'
Unable to preload the following plugins:
	ScreenSelector.so
	libgrpc_csharp_ext.x86.so
Logging to /home/benjamintan/.config/unity3d/Unity Technologies/Unity Environment/Player.log
INFO:unityagents:
'Academy' started successfully!
Unity Academy name: Academy
        Number of Brains: 1
        Number of External Brains : 1
        Lesson number : 0
        Reset Parameters :
		goal_speed -> 1.0
		goal_size -> 5.0
Unity brain name: ReacherBrain
        Number of Visual Observations (per agent): 0
        Vector Observation space type: continuous
        Vector Observation space size (per agent): 33
        Number of stacked Vector Observation: 1
        Vector Action space type: continuous
        Vector Action space size (per agent): 4
        Vector Action descriptions: , , ,
Number of agents: 20
Size of each action 4
There are 20 agents. Each observes a state with length: 33
Using random seed: 138
Episode 114	Average: 23.10	Min: 23.95	Max: 35.13
Episode 115	Average: 23.35	Min: 26.78	Max: 34.62
Episode 116	Average: 23.62	Min: 24.61	Max: 38.06
Episode 117	Average: 23.83	Min: 22.29	Max: 32.86
Episode 118	Average: 24.06	Min: 23.66	Max: 34.30
Episode 119	Average: 24.28	Min: 21.63	Max: 38.77
Episode 120	Average: 24.51	Min: 23.39	Max: 36.59
Saving Episode: 120.
Episode 121	Average: 24.72	Min: 22.99	Max: 39.05
Episode 122	Average: 24.96	Min: 27.39	Max: 36.43
Episode 123	Average: 25.18	Min: 26.24	Max: 34.90
Episode 124	Average: 25.41	Min: 26.46	Max: 39.50
Episode 125	Average: 25.67	Min: 31.50	Max: 37.96
Episode 126	Average: 25.91	Min: 27.88	Max: 36.35
Episode 127	Average: 26.14	Min: 26.38	Max: 35.36
Episode 128	Average: 26.36	Min: 25.97	Max: 36.12
Episode 129	Average: 26.57	Min: 24.69	Max: 34.28
Episode 130	Average: 26.79	Min: 26.10	Max: 34.89
Saving Episode: 130.
Episode 131	Average: 26.94	Min: 18.92	Max: 32.28
Episode 132	Average: 27.12	Min: 21.69	Max: 34.87
Episode 133	Average: 27.28	Min: 20.90	Max: 35.94
Episode 134	Average: 27.44	Min: 23.58	Max: 34.57
Episode 135	Average: 27.60	Min: 24.89	Max: 33.63
Episode 136	Average: 27.77	Min: 23.15	Max: 33.41
Episode 137	Average: 27.94	Min: 24.17	Max: 35.72
Episode 138	Average: 28.09	Min: 21.80	Max: 33.81
Episode 139	Average: 28.27	Min: 23.77	Max: 34.36
Episode 140	Average: 28.42	Min: 24.72	Max: 34.60
Saving Episode: 140.
Episode 141	Average: 28.54	Min: 21.98	Max: 33.51
Episode 142	Average: 28.66	Min: 23.54	Max: 31.68
Episode 143	Average: 28.79	Min: 23.95	Max: 35.24
Episode 144	Average: 28.92	Min: 23.80	Max: 33.05
Episode 145	Average: 29.03	Min: 24.22	Max: 34.90
Episode 146	Average: 29.16	Min: 21.50	Max: 36.37
Episode 147	Average: 29.25	Min: 21.64	Max: 31.74
Episode 148	Average: 29.35	Min: 21.25	Max: 34.93
Episode 149	Average: 29.45	Min: 24.92	Max: 32.69
Episode 150	Average: 29.56	Min: 24.84	Max: 35.55
Saving Episode: 150.
Episode 151	Average: 29.65	Min: 20.81	Max: 37.53
Episode 152	Average: 29.71	Min: 20.93	Max: 32.38
Episode 153	Average: 29.76	Min: 20.61	Max: 30.61
Episode 154	Average: 29.82	Min: 23.60	Max: 33.33
Episode 155	Average: 29.85	Min: 19.87	Max: 33.07
Episode 156	Average: 29.89	Min: 23.33	Max: 31.97
Episode 157	Average: 29.99	Min: 23.53	Max: 34.82
Episode 158	Average: 30.03	Min: 23.26	Max: 32.39
Woot! Solved after 158 episodes. Total average score: 30.03125432874914
Total Score: 38.166499146912244
